airport_id;airport_name;airport_code;country;country_code;city
1;108 Mile Ranch;ZMH;Canada;CA;108 Mile Ranch
2;4 de Fevereiro;LAD;Angola;AO;Luanda
3;A Carnevalli;MRD;Venezuela;VE;Merida
4;A. De Barros;PPB;Brazil;BR;Presidente Prudente
5;A. Tubman;CPA;Liberia;LR;Cape Palmas
6;Aachen/Merzbruck;AAH;Germany;DE;Aachen
7;AAF Heliport;AYE;United States;US;Fort Devens
8;Aalborg;AAL;Denmark;DK;Aalborg
9;Aarhus Limo;ZBU;Denmark;DK;Aarhus Limo
10;Aasiaat;JEG;Greenland;GL;Aasiaat
11;Ab;OSN;Korea-South;KR;Osan
12;Aba Tenna D Yilma;DIR;Ethiopia;ET;Dire Dawa
13;Abadan;ABD;Iran;IR;Abadan
14;Abaiang;ABF;Kiribati;KI;Abaiang
15;Abakan;ABA;Russian Federation;RU;Abakan
16;Abau;ABW;Papua New Guinea;PG;Abau
17;Abbaye;BGH;Mauritania;MR;Boghe
18;Abbotsford;YXX;Canada;CA;Abbotsford
19;Abbse;EAB;Yemen;YE;Abbse
20;Abdul Rahman Saleh;MLG;Indonesia;ID;Malang
21;Abecher;AEH;Chad;TD;Abecher
22;Abemama Atoll;AEA;Kiribati;KI;Abemama Atoll
23;Abengourou;OGO;Ivory Coast;CI;Abengourou
24;Abha;AHB;Saudi Arabia;SA;Abha
25;Abingdon;ABG;Australia;AU;Abingdon
26;Aboisso;ABO;Ivory Coast;CI;Aboisso
27;Abou Bakr Belkaid;CFK;Algeria;DZ;Chlef
28;Abou Deia;AOD;Chad;TD;Abou Deia
29;Abreojos;AJS;Mexico;MX;Abreojos
30;Abu Dhabi Intl;AUH;United Arab Emirates;AE;Abu Dhabi
31;Abu Musa;AEU;Iran;IR;Abu Musa
32;Abu Rudeis;AUE;Egypt;EG;Abu Rudeis
33;Abu Simbel;ABS;Egypt;EG;Abu Simbel
34;Acadiana Regional;ARA;United States;US;New Iberia
35;Acandi;ACD;Colombia;CO;Acandi
36;Acaricuara;ARF;Colombia;CO;Acaricuara
37;Acarigua;AGV;Venezuela;VE;Acarigua
38;Accomack County;MFV;United States;US;Melfa
39;Achinsk;ACS;Russian Federation;RU;Achinsk
40;Achmad Yani;SRG;Indonesia;ID;Semarang
41;Achutupo;ACU;Panama;PA;Achutupo
42;Ad-Dabbah;AAD;Sudan;SD;Ad-Dabbah
43;Ada;ADT;United States;US;Ada
44;Adak Island NS;ADK;United States;US;Adak Island
45;Adana;ADA;Turkey;TR;Adana
46;Adana-Incirlik Airbase;UAB;Turkey;TR;Adana
47;Addison Airport;ADS;United States;US;Dallas
48;Adelaide;ADL;Australia;AU;Adelaide
49;Adelaide Keswick Rail;XHX;Australia;AU;Adelaide
50;Adi Sumarmo;SOC;Indonesia;ID;Solo City
51;Adirondack;SLK;United States;US;Saranac Lake
52;Adisutjipto;JOG;Indonesia;ID;Yogyakarta
53;Adiyaman;ADF;Turkey;TR;Adiyaman
54;Adler/Sochi;AER;Russian Federation;RU;Adler/Sochi
55;Adnan Menderes Arpt;ADB;Turkey;TR;Izmir
56;Adrar;AZR;Algeria;DZ;Adrar
57;Aek Godang;AEG;Indonesia;ID;Aek Godang
58;Aerogare des Invalides;XEX;France;FR;Paris
59;Aeroport De La Seu;LEU;Spain;ES;Seu De Urgel
60;Aeroporto Max Feffer;MVS;Brazil;BR;Mucuri
61;Aeropuero de Bajio;LEN;Spain;ES;Leon
62;Aeropuerto Del Norte;NTR;Mexico;MX;Monterrey
63;Af Aux;INS;United States;US;Indian Springs
64;AFB;HST;United States;US;Homestead
65;AFB;MUO;United States;US;Mountain Home
66;AFB;PBG;United States;US;Plattsburgh
67;AFB Municipal;CHS;United States;US;Charleston
68;AFC;XSA;Liberia;LR;Sinoe
69;Afonso Pena International Airport;CWB;Brazil;BR;Curitiba
70;Afore;AFR;Papua New Guinea;PG;Afore
71;AFS;OHC;United States;US;Northeast Cape
72;AFS;PML;United States;US;Port Moller
73;Afutara Aerodrome;AFT;Solomon Islands;SB;Afutara
74;Afyon;AFY;Turkey;TR;Afyon
75;Agades;AJY;Niger;NE;Agades
76;Agadir Almassira;AGA;Morocco;MA;Agadir
77;Agana Nas;NGM;Guam-usa;GU;Agana
78;Agatti Island;AGX;India;IN;Agatti Island
79;Agaun;AUP;Papua New Guinea;PG;Agaun
80;Aggeneys;AGZ;South Africa;ZA;Aggeneys
81;Aghajari;AKW;Iran;IR;Aghajari
82;Agnew;AGW;Australia;AU;Agnew
83;Agoncillo;RJL;Spain;ES;Logrono
84;Agora Helipad;JAH;France;FR;Aubagne
85;Ağri;AJI;Turkey;TR;Agri
86;Agrinion;AGQ;Greece;GR;Agrinion
87;Aguaclara;ACL;Colombia;CO;Aguaclara
88;Aguascalients;AGU;Mexico;MX;Aguascalientes
89;Aguasclaras;OCV;Colombia;CO;Ocana
90;Aguemar;TMR;Algeria;DZ;Tamanrasset
91;Aguni;AGJ;Japan;JP;Aguni
92;Ahe Airport;AHE;French Polynesia;PF;Ahe
93;Ahmed Al Jaber;XIJ;Kuwait;KW;Ahmed Al Jaber
94;Ahmedabad;AMD;India;IN;Ahmedabad
95;Ahuas;AHS;Honduras;HN;Ahuas
96;Ahwaz;AWZ;Iran;IR;Ahwaz
97;Ai-Ais;AIW;Namibia;NA;Ai-Ais
98;Aiambak;AIH;Papua New Guinea;PG;Aiambak
99;Ailigandi;AIL;Panama;PA;Ailigandi
100;Ailinglapalap Island;AIP;Marshall Islands;MH;Ailinglapalap Island
101;Ailuk Island;AIM;Marshall Islands;MH;Ailuk Island
102;Ain Beida;OGX;Algeria;DZ;Ouargla
103;Ain Eddis;BUJ;Algeria;DZ;Boussaada
104;Ain El Bey;CZL;Algeria;DZ;Constantine
105;Ainsworth;ANW;United States;US;Ainsworth
106;Aiome;AIE;Papua New Guinea;PG;Aiome
107;Aioun El Atrouss;AEO;Mauritania;MR;Aioun El Atrouss
108;Air Base;WIE;Germany;DE;Wiesbaden
109;Air Force 42;PMD;United States;US;Palmdale
110;Air Term.-Gowen Fld;BOI;United States;US;Boise
111;Air Terminal;HWD;United States;US;Hayward
112;Air Terminal;SEF;United States;US;Sebring
113;Airai;ROR;Palau;PW;Koror
114;Airfield;UDN;Italy;IT;Udine
115;Airok;AIC;Marshall Islands;MH;Airok
116;Airpark;MDD;United States;US;Midland
117;Airstrip;ATP;Papua New Guinea;PG;Aitape
118;Airstrip;VIK;United States;US;Kavik
119;Airterminal;FAT;United States;US;Fresno
120;Aishalton;AHL;Guyana;GY;Aishalton
121;Aitutaki;AIT;Cook Islands;CK;Aitutaki
122;Aiyura;AYU;Papua New Guinea;PG;Aiyura
123;Aizawl;AJL;India;IN;Aizawl
124;Akhiok SPB;AKK;United States;US;Akhiok
125;Akiak;AKI;United States;US;Akiak
126;Akieni;AKE;Gabon;GA;Akieni
127;Akita;AXT;Japan;JP;Akita
128;Akjoujt;AJJ;Mauritania;MR;Akjoujt
129;Aklavik;LAK;Canada;CA;Aklavik
130;Akola;AKD;India;IN;Akola
131;Akron/Canton Regional;CAK;United States;US;Akron/Canton
132;Akrotiri RAF;AKT;Cyprus;CY;Akrotiri
133;Aksu;AKU;China;CN;Aksu
134;Aktau;SCO;Kazakhstan;KZ;Aktau
135;Aktion;PVK;Greece;GR;Preveza/Lefkas
136;Aktyubinsk;AKX;Kazakhstan;KZ;Aktyubinsk
137;Akulivik;AKV;Canada;CA;Akulivik
138;Akure;AKR;Nigeria;NG;Akure
139;Akureyri;AEY;Iceland;IS;Akureyri
140;Akutan;KQA;United States;US;Akutan
141;Al Ain;AAN;United Arab Emirates;AE;Al Ain
